# of variables,1,Sweep points,201,Parametric points,1,,,,
Vd,Vg,Vs,Id,Ig,Is,time_s,Id_dens,Ig_dens,R_on
0.000000E+0,-4.000000E+0,0.000000E+0,-5.823731E-13,-5.641461E-13,-5.698085E-13,2.627030E+0,-9.706219E-12,-9.402434E-12,5.151337E+9
5.000000E-2,-4.000000E+0,0.000000E+0,5.704832E-12,-5.664349E-13,-6.009936E-13,2.696782E+0,9.508053E-11,-9.440581E-12,4.771596E+8
1.000000E-1,-4.000000E+0,0.000000E+0,9.606003E-12,-5.838513E-13,-6.715656E-13,2.781885E+0,1.601001E-10,-9.730855E-12,7.689998E+8
1.500000E-1,-4.000000E+0,0.000000E+0,1.140815E-11,-5.983353E-13,-6.145954E-13,2.852787E+0,1.901358E-10,-9.972255E-12,1.664681E+9
2.000000E-1,-4.000000E+0,0.000000E+0,1.144422E-11,-5.737305E-13,-5.705238E-13,2.978101E+0,1.907371E-10,-9.562174E-12,8.316537E+10
2.500000E-1,-4.000000E+0,0.000000E+0,1.237035E-11,-5.903244E-13,-5.306840E-13,3.049585E+0,2.061725E-10,-9.838740E-12,3.239305E+9
3.000000E-1,-4.000000E+0,0.000000E+0,1.375139E-11,-5.822658E-13,-5.958676E-13,3.119615E+0,2.291898E-10,-9.704431E-12,2.172276E+9
3.500000E-1,-4.000000E+0,0.000000E+0,1.463541E-11,-5.748868E-13,-6.028533E-13,3.189428E+0,2.439235E-10,-9.581447E-12,3.393591E+9
4.000000E-1,-4.000000E+0,0.000000E+0,1.460298E-11,-6.238342E-13,-5.518437E-13,3.269086E+0,2.433831E-10,-1.039724E-11,-9.252487E+10
4.500000E-1,-4.000000E+0,0.000000E+0,1.518157E-11,-6.048799E-13,-5.182624E-13,3.356921E+0,2.530261E-10,-1.008133E-11,5.185088E+9
5.000000E-1,-4.000000E+0,0.000000E+0,1.445656E-11,-5.694508E-13,-5.627751E-13,3.427256E+0,2.409426E-10,-9.490847E-12,-4.137887E+9
5.500000E-1,-4.000000E+0,0.000000E+0,1.515008E-11,-6.020784E-13,-5.856872E-13,3.499041E+0,2.525014E-10,-1.003464E-11,4.325732E+9
6.000000E-1,-4.000000E+0,0.000000E+0,1.543493E-11,-6.023169E-13,-6.163120E-13,3.569704E+0,2.572489E-10,-1.003861E-11,1.053185E+10
6.500000E-1,-4.000000E+0,0.000000E+0,1.561781E-11,-5.970121E-13,-5.559325E-13,3.641435E+0,2.602969E-10,-9.950201E-12,1.640422E+10
7.000000E-1,-4.000000E+0,0.000000E+0,1.580073E-11,-5.831003E-13,-5.228043E-13,3.712450E+0,2.633455E-10,-9.718338E-12,1.640111E+10
7.500000E-1,-4.000000E+0,0.000000E+0,1.594682E-11,-6.080747E-13,-5.388379E-13,3.784047E+0,2.657803E-10,-1.013458E-11,2.053532E+10
8.000000E-1,-4.000000E+0,0.000000E+0,1.586735E-11,-6.266594E-13,-5.659461E-13,3.857460E+0,2.644559E-10,-1.044432E-11,-3.775284E+10
8.500000E-1,-4.000000E+0,0.000000E+0,1.583390E-11,-5.974174E-13,-6.061435E-13,3.928891E+0,2.638984E-10,-9.956956E-12,-8.968429E+10
9.000000E-1,-4.000000E+0,0.000000E+0,1.600115E-11,-5.863905E-13,-5.222082E-13,4.001024E+0,2.666859E-10,-9.773175E-12,1.793705E+10
9.500000E-1,-4.000000E+0,0.000000E+0,1.597824E-11,-5.879760E-13,-5.554318E-13,4.072181E+0,2.663040E-10,-9.799600E-12,-1.309345E+11
1.000000E+0,-4.000000E+0,0.000000E+0,1.606325E-11,-6.024480E-13,-5.573273E-13,4.143831E+0,2.677208E-10,-1.004080E-11,3.529063E+10
1.050000E+0,-4.000000E+0,0.000000E+0,1.618167E-11,-6.147742E-13,-5.517840E-13,4.212693E+0,2.696945E-10,-1.024624E-11,2.533300E+10
1.100000E+0,-4.000000E+0,0.000000E+0,1.625867E-11,-6.011844E-13,-5.707145E-13,4.284293E+0,2.709778E-10,-1.001974E-11,3.896234E+10
1.150000E+0,-4.000000E+0,0.000000E+0,1.618443E-11,-5.819201E-13,-5.870461E-13,4.354987E+0,2.697404E-10,-9.698669E-12,-4.040707E+10
