# of variables,1,Sweep points,201,Parametric points,1,,,,
Vd,Vg,Vs,Id,Ig,Is,time_s,Id_dens,Ig_dens,R_on
0.000000E+0,4.000000E+0,0.000000E+0,2.963804E-6,3.514349E-12,-2.969309E-6,2.483985E+0,4.939673E-5,5.857249E-11,-1.012213E+3
5.000000E-2,4.000000E+0,0.000000E+0,9.650033E-6,3.694880E-12,-1.224592E-3,2.735346E+0,1.608339E-4,6.158133E-11,4.486834E+2
1.000000E-1,4.000000E+0,0.000000E+0,2.445203E-3,4.132486E-12,-2.439240E-3,2.992894E+0,4.075338E-2,6.887476E-11,1.231753E+0
1.500000E-1,4.000000E+0,0.000000E+0,3.668000E-3,5.749726E-12,-3.668214E-3,3.063871E+0,6.113333E-2,9.582877E-11,2.453393E+0
2.000000E-1,4.000000E+0,0.000000E+0,4.879846E-3,6.457460E-12,-4.880080E-3,3.141690E+0,8.133077E-2,1.076243E-10,2.475561E+0
2.500000E-1,4.000000E+0,0.000000E+0,6.094992E-3,6.942725E-12,-6.095225E-3,3.216569E+0,1.015832E-1,1.157121E-10,2.468839E+0
3.000000E-1,4.000000E+0,0.000000E+0,7.307284E-3,7.214511E-12,-7.307549E-3,3.291120E+0,1.217881E-1,1.202418E-10,2.474653E+0
3.500000E-1,4.000000E+0,0.000000E+0,8.505040E-3,7.650244E-12,-8.505280E-3,3.362361E+0,1.417507E-1,1.275041E-10,2.504683E+0
4.000000E-1,4.000000E+0,0.000000E+0,9.707553E-3,8.286381E-12,-9.707876E-3,3.501750E+0,1.617926E-1,1.381064E-10,2.494775E+0
4.500000E-1,4.000000E+0,0.000000E+0,1.090185E-2,8.633757E-12,-1.090271E-2,3.637486E+0,1.816974E-1,1.438959E-10,2.511949E+0
5.000000E-1,4.000000E+0,0.000000E+0,1.208702E-2,1.062478E-11,-1.208798E-2,3.708245E+0,2.014504E-1,1.770796E-10,2.531264E+0
5.500000E-1,4.000000E+0,0.000000E+0,1.326649E-2,1.142664E-11,-1.326742E-2,3.778583E+0,2.211082E-1,1.904440E-10,2.543520E+0
6.000000E-1,4.000000E+0,0.000000E+0,1.444080E-2,1.182793E-11,-1.444178E-2,3.857372E+0,2.406800E-1,1.971322E-10,2.554697E+0
6.500000E-1,4.000000E+0,0.000000E+0,1.559396E-2,1.178362E-11,-1.559495E-2,3.948497E+0,2.598993E-1,1.963937E-10,2.601549E+0
7.000000E-1,4.000000E+0,0.000000E+0,1.674747E-2,1.254961E-11,-1.674852E-2,4.019051E+0,2.791246E-1,2.091602E-10,2.600743E+0
7.500000E-1,4.000000E+0,0.000000E+0,1.789048E-2,1.307167E-11,-1.789161E-2,4.090114E+0,2.981746E-1,2.178611E-10,2.624665E+0
